	dataset	model	dataset_method	forget_set_size	patch_size	pretrain_iters	pretrain_lr	unlearn_method	exp_name	train_iters	k	factor	kd_T	gamma	alpha	msteps	delete_acc	delete_err	manip_acc	test_acc	manip_clean_acc	test_clean_acc	test_retain_acc	deletion_size	unlearn_time	train_clean_acc	ascLRscale	SSDdampening	selectwt
22	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	-1						0.1875	0.8125	0.186	0.1754	0.764	0.7414		400	725.009901118	0.99738	0.001		
23	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	Scrub	unlearn	1500	-1		4		1.0	100	0.08	0.93	0.096	0.0917	0.734	0.7367		100	459.8413035289999	0.9971			
24	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.02	0.0	0.018	0.0154	0.012	0.0154		350	112.52700594000001	0.01504		5.0	10.0
25	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	13						0.1	0.9	0.086	0.0921	0.724	0.738		100	215.379980242	0.99696	10.0		
26	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	CF	unlearn	1500	13						0.128	0.898	0.128	0.0921	0.726	0.7381		500	430.8402720859999	0.99698			
27	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.304	0.0	0.304	0.2466	0.174	0.2462		500	108.160551601	0.29472		5.0	1.0
28	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.098	0.908	0.098	0.0921	0.724	0.738		500	39.942009691	0.99696		100000.0	100000.0
29	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.016	0.0	0.016	0.01	0.008	0.01		500	88.371479188	0.01		0.05	0.1
30	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.48	0.0	0.45	0.3563	0.336	0.3608		50	94.890723933	0.44902		1.0	10.0
31	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	13						0.14666666666666667	0.8533333333333334	0.144	0.1311	0.75	0.7382		150	434.3981326889999	0.99726	0.01		
32	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	Scrub	unlearn	1500	-1		4		0.05	100	0.145	0.8675	0.13	0.0985	0.728	0.7395		400	1161.8097618400002	0.99704			
33	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.09714285714285714	0.9085714285714286	0.098	0.0927	0.726	0.738		350	112.318576729	0.99698		5000.0	500.0
34	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.14	0.88	0.098	0.0921	0.724	0.738		50	40.593276636999995	0.99696		5000000.0	1000000.0
35	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.1	0.9066666666666666	0.098	0.0921	0.724	0.738		150	40.270898068	0.99696		500.0	1000.0
36	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.0975	0.91	0.098	0.0918	0.726	0.7381		400	109.94991909999999	0.99698		5.0	50.0
37	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	EU	unlearn	6000	-1						0.13	0.9	0.13	0.1048	0.72	0.7442		100	2799.6829703450016	0.99702			
38	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.15142857142857144	0.8514285714285714	0.142	0.1166	0.734	0.7347		350	39.817457542999996	0.99424		1000.0	1000.0
39	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	Scrub	unlearn	1500	-1		4		0.01	100	0.14666666666666667	0.8766666666666667	0.14	0.0951	0.754	0.7402		300	878.0481365400001	0.99734			
40	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.105	0.905	0.098	0.093	0.726	0.7381		200	114.829674267	0.99698		50.0	10.0
41	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	5						0.086	0.918	0.086	0.0921	0.726	0.7381		500	300.4452836990001	0.99698	1.0		
42	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.9733333333333334	0.0	0.978	0.703	0.696	0.709		300	146.298011416	0.97636		5.0	10.0
43	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.0975	0.91	0.098	0.0921	0.724	0.738		400	39.127681995	0.99696		10000000.0	1000000.0
44	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.0975	0.91	0.098	0.0921	0.726	0.7381		400	108.79581122799999	0.99698		50000.0	10000.0
45	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	-1						0.1	0.9	0.086	0.0921	0.726	0.7381		100	686.237829774	0.99698	10.0		
46	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.016	0.0	0.016	0.01	0.008	0.01		500	39.770250505	0.01		1.0	0.1
47	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.3	0.72	0.376	0.2745	0.742	0.7319		50	149.72009372899998	0.99408		25.0	50.0
48	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	5						0.12	0.88	0.118	0.1187	0.726	0.7386		150	309.6659216739999	0.99704	0.1		
49	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.9666666666666667	0.0	0.97	0.6819	0.676	0.6876		450	108.65384863199999	0.96404		1.0	10.0
50	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	Scrub	unlearn	1500	-1		4		0.05	100	0.08	0.93	0.096	0.0945	0.73	0.7386		100	1186.4815362519998	0.99708			
51	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.14	0.88	0.098	0.0932	0.728	0.738		50	94.663670533	0.997		250.0	500.0
52	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	CF	unlearn	1500	13						0.13	0.88	0.1	0.0921	0.724	0.738		100	244.18149274900006	0.99696			
53	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.12	0.89	0.098	0.0921	0.726	0.7381		100	94.24224985	0.99698		10000000.0	1000000.0
54	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	Scrub	unlearn	1500	-1		4		10.0	100	0.11714285714285715	0.8857142857142857	0.114	0.1051	0.736	0.7412		350	898.5566134940002	0.99518			
55	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.216	0.784	0.192	0.1598	0.738	0.7302		250	109.452134405	0.987		100.0	1000.0
56	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	EU	unlearn	1500	5						0.168	0.84	0.162	0.1223	0.72	0.7243		250	319.787897871	0.9968			
57	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.14	0.88	0.098	0.0927	0.726	0.7381		50	112.127103777	0.99698		500.0	50.0
58	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	5						0.08	0.92	0.106	0.1088	0.728	0.7385		50	410.459397169	0.99706	0.05		
59	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.1	0.9066666666666666	0.098	0.0921	0.726	0.7381		150	94.734040705	0.99698		50.0	10.0
60	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	13						0.1	0.9	0.086	0.0921	0.726	0.7381		100	432.714932904	0.99698	0.001		
61	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	-1						0.135	0.865	0.122	0.1185	0.748	0.7422		200	680.6997043420002	0.9971	0.1		
62	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.02	0.0	0.01	0.01	0.002	0.01		50	94.753351131	0.01		0.010000000000000002	0.1
63	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	13						0.07428571428571429	0.9257142857142857	0.086	0.0921	0.726	0.7381		350	584.8480087729998	0.99698	0.1		
64	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.1	0.9066666666666666	0.098	0.0921	0.726	0.7381		150	111.730384361	0.99698		1.0	1.0
65	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	13						0.07428571428571429	0.9257142857142857	0.086	0.0921	0.726	0.7381		350	418.112081225	0.99698	1.0		
66	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	13						0.086	0.918	0.086	0.0921	0.726	0.7381		500	409.169540609	0.99698	0.05		
67	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	5						0.085	0.915	0.086	0.0921	0.724	0.738		200	157.62009452100003	0.99696	5.0		
68	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	-1						0.165	0.835	0.152	0.134	0.748	0.7407		200	706.459702696	0.9972	0.001		
69	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	Scrub	unlearn	1500	-1		4		10.0	100	0.14	0.875	0.126	0.0981	0.746	0.7385		400	905.4497634729998	0.9957			
70	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.1	0.9066666666666666	0.098	0.0921	0.726	0.7381		150	111.672426735	0.99698		0.1	1.0
71	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	-1						0.14666666666666667	0.8533333333333334	0.158	0.1476	0.752	0.7432		300	706.7860320420001	0.99716	0.01		
72	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.104	0.904	0.098	0.0921	0.724	0.738		250	40.228633219	0.99696		10000000.0	1000000.0
73	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.017142857142857144	0.0	0.016	0.01	0.008	0.01		350	102.28362261800001	0.01		1.0	1.0
74	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	5						0.08888888888888889	0.9155555555555556	0.086	0.0921	0.726	0.7381		450	295.76469477899997	0.99698	10.0		
75	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.96	0.0	0.96	0.6871	0.708	0.7113		500	87.034535447	0.97676		5.0	50.0
76	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.0975	0.91	0.098	0.0921	0.726	0.7381		400	114.514344885	0.99698		500.0	500.0
77	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	5						0.07	0.93	0.086	0.0921	0.726	0.7381		300	291.41834649300006	0.99698	1.0		
78	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.1	0.9066666666666666	0.098	0.0926	0.726	0.738		450	148.607678083	0.99698		250.0	500.0
79	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.975	0.0	0.976	0.6926	0.678	0.6933		200	95.74951344899999	0.96858		0.5	1.0
80	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.105	0.905	0.098	0.0921	0.726	0.7381		200	86.949505804	0.99698		10000.0	1000.0
81	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.14	0.88	0.098	0.0921	0.726	0.7381		50	94.465934177	0.99698		100000.0	10000.0
82	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	EU	unlearn	1500	13						0.942	0.01	0.942	0.6813	0.71	0.6861		500	241.937941679	0.9533			
83	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.017777777777777778	0.0	0.016	0.01	0.008	0.01		450	109.095806671	0.01		0.1	0.1
84	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.0975	0.91	0.098	0.0921	0.726	0.7381		400	112.738254548	0.99698		500.0	50.0
85	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	5						0.07	0.93	0.086	0.0921	0.726	0.7381		300	295.41282988699993	0.99698	5.0		
86	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.1	0.906	0.1	0.0936	0.722	0.7375		500	39.862858574	0.99686		1000.0	1000.0
87	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.0975	0.91	0.098	0.0921	0.726	0.7381		400	95.077375382	0.99698		5000.0	1000.0
88	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	13						0.08888888888888889	0.9155555555555556	0.086	0.0921	0.726	0.7381		450	402.764358447	0.99698	5.0		
89	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	5						0.11	0.89	0.11	0.1102	0.724	0.7385		100	305.4366137619999	0.99702	0.5		
90	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	5						0.085	0.9175	0.086	0.0921	0.726	0.7381		400	303.901948051	0.99698	10.0		
91	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.1	0.9066666666666666	0.098	0.0921	0.726	0.7381		150	148.954449853	0.99698		1000000.0	1000000.0
92	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	5						0.11	0.89	0.108	0.1091	0.724	0.7387		100	302.391402402	0.99702	0.05		
93	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.0	0.0	0.016	0.01	0.008	0.01		50	112.450267487	0.01066		1.0	1.0
94	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.6	0.0	0.608	0.4665	0.44	0.4713		50	95.003977367	0.60752		5.0	1.0
95	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.1	0.9066666666666666	0.098	0.0921	0.726	0.7381		150	112.550115039	0.99698		500.0	50.0
96	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.0975	0.91	0.098	0.0921	0.726	0.7381		400	93.93776013200001	0.99698		1000.0	10000.0
97	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.15333333333333332	0.0	0.18	0.1523	0.128	0.1522		300	108.692461437	0.17506		1.0	1.0
98	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.06	0.0	0.034	0.0261	0.022	0.0263		100	94.271976374	0.0253		10.0	10.0
99	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.1	0.9066666666666666	0.098	0.0927	0.726	0.738		450	108.96633729999999	0.99698		50.0	500.0
100	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	-1						0.11	0.89	0.104	0.1106	0.738	0.7424		100	939.2698113919997	0.99706	0.01		
101	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	5						0.072	0.928	0.086	0.0921	0.726	0.7381		250	302.76911935	0.99698	0.5		
102	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.12	0.89	0.098	0.0921	0.726	0.7381		100	94.512483031	0.99698		500000.0	1000000.0
103	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.0975	0.91	0.098	0.0921	0.726	0.7381		400	94.374029919	0.99698		100.0	100.0
104	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.10666666666666667	0.9	0.098	0.0921	0.726	0.7381		300	113.487968665	0.99698		10000.0	100000.0
105	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.108	0.898	0.108	0.0972	0.724	0.7351		500	148.4604022	0.99478		500.0	500.0
106	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	5						0.1	0.9	0.086	0.0921	0.726	0.7381		100	307.7988486199999	0.99698	1.0		
107	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	13						0.19	0.805	0.186	0.1662	0.732	0.7385		200	436.48294376599995	0.99704	0.1		
108	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.06666666666666667	0.0	0.066	0.0513	0.044	0.0511		450	95.000071838	0.05336		1.0	1.0
109	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.0975	0.91	0.098	0.0921	0.726	0.7381		400	113.321713277	0.99698		100000.0	10000.0
110	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.1	0.9066666666666666	0.098	0.0921	0.726	0.7381		150	113.876631477	0.99698		10000.0	1000.0
111	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.105	0.905	0.098	0.0921	0.726	0.7381		200	97.62912503700001	0.99698		1000000.0	1000000.0
112	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.105	0.905	0.098	0.0933	0.726	0.7381		200	95.796229173	0.99698		10.0	100.0
113	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	13						0.086	0.918	0.086	0.0921	0.726	0.7381		500	570.766306205	0.99698	0.1		
114	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	Scrub	unlearn	1500	-1		4		0.01	100	0.08	0.93	0.098	0.0906	0.718	0.7374		100	865.4333697520001	0.99696			
115	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	13						0.08	0.92	0.086	0.0921	0.726	0.7381		150	434.34189247999996	0.99698	0.5		
116	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	13						0.08888888888888889	0.9155555555555556	0.086	0.0921	0.726	0.7381		450	402.6747466389999	0.99698	10.0		
117	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.1	0.9066666666666666	0.098	0.0921	0.726	0.7381		150	94.926091759	0.99698		10000.0	100000.0
118	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.0	0.0	0.01	0.01	0.01	0.01		100	111.97721375500001	0.01		0.1	0.1
119	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.09714285714285714	0.9085714285714286	0.098	0.0921	0.726	0.7381		350	102.154100089	0.99698		100000.0	100000.0
120	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.098	0.908	0.098	0.0921	0.724	0.738		500	39.992568471	0.99696		10000.0	100000.0
121	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.017142857142857144	0.0	0.016	0.011	0.008	0.011		350	111.557969397	0.01112		1.0	10.0
122	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.12	0.89	0.098	0.0921	0.726	0.7381		100	146.72375007600002	0.99698		10000.0	1000.0
123	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.1	0.9066666666666666	0.098	0.0921	0.726	0.7381		450	145.950465744	0.99698		1000000.0	100000.0
124	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	EU	unlearn	1500	13						0.33111111111111113	0.6377777777777778	0.336	0.2814	0.686	0.6936		450	578.7265451470001	0.95174			
125	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.1	0.9066666666666666	0.098	0.0921	0.726	0.7381		450	145.804183634	0.99698		500.0	500.0
126	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	13						0.07	0.93	0.086	0.0921	0.726	0.7381		300	573.427300215	0.99698	0.1		
127	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	CF	unlearn	1500	5						0.14	0.8714285714285714	0.138	0.0921	0.726	0.7381		350	320.484389765	0.99698			
128	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	CF	unlearn	1500	-1						0.12	0.892	0.114	0.0918	0.738	0.7384		250	708.697827466	0.99698			
129	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.10666666666666667	0.9	0.098	0.0931	0.726	0.7382		300	107.924519825	0.99698		250.0	50.0
130	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.1	0.9066666666666666	0.098	0.0927	0.726	0.738		450	143.219835747	0.99698		250.0	50.0
131	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.104	0.904	0.098	0.0921	0.726	0.7381		250	111.79261519399999	0.99698		5000000.0	1000000.0
132	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	Scrub	unlearn	1500	-1		4		0.05	100	0.12	0.8885714285714286	0.112	0.0984	0.738	0.7395		350	1183.8939451610001	0.99718			
133	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.10666666666666667	0.9	0.098	0.0925	0.726	0.7381		300	88.47341440299999	0.99698		500.0	50.0
134	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.02	0.0	0.02	0.0176	0.012	0.0178		250	111.54433509	0.01804		10.0	1.0
135	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.1	0.9066666666666666	0.098	0.0921	0.726	0.7381		150	94.829973961	0.99698		10.0	1.0
136	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	5						0.13	0.87	0.118	0.1192	0.724	0.7385		200	311.017139854	0.99704	0.001		
137	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.944	0.0	0.96	0.6872	0.694	0.7043		250	112.407939133	0.97464		100.0	100.0
138	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.1	0.9066666666666666	0.098	0.0921	0.726	0.7381		150	112.62399141	0.99698		5000.0	500.0
